District,YEAR,Cropped.land.area
Anantnag,2011,71432
Anantnag,2012,71432
Anantnag,2013,71520
Anantnag,2014,70955
Anantnag,2015,58830
Anantnag,2016,70300
Anantnag,2017,69241
Budgam,2011,52890
Budgam,2012,55734
Budgam,2013,55337
Budgam,2014,66164
Budgam,2015,71407
Budgam,2016,54139
Budgam,2017,54042
Baramulla,2011,65711
Baramulla,2012,65734
Baramulla,2013,65593
Baramulla,2014,63549
Baramulla,2015,65723
Baramulla,2016,65648
Baramulla,2017,65162
Doda,2011,39712
Doda,2012,39534
Doda,2013,39622
Doda,2014,39143
Doda,2015,36837
Doda,2016,49791
Doda,2017,38248
Jammu,2011,185837
Jammu,2012,187717
Jammu,2013,190266
Jammu,2014,209733
Jammu,2015,192821
Jammu,2016,196241
Jammu,2017,189478
Kathua,2011,126023
Kathua,2012,122575
Kathua,2013,122883
Kathua,2014,123208
Kathua,2015,119155
Kathua,2016,117008
Kathua,2017,121316
Kupwara,2011,45534
Kupwara,2012,49581
Kupwara,2013,45534
Kupwara,2014,45534
Kupwara,2015,45718
Kupwara,2016,45638
Kupwara,2017,44694
Poonch,2011,46394
Poonch,2012,45317
Poonch,2013,46470
Poonch,2014,45130
Poonch,2015,45011
Poonch,2016,44754
Poonch,2017,45116
Pulwama,2011,57628
Pulwama,2012,57564
Pulwama,2013,57135
Pulwama,2014,56687
Pulwama,2015,55870
Pulwama,2016,58023
Pulwama,2017,54765
Rajouri,2011,100435
Rajouri,2012,99161
Rajouri,2013,100368
Rajouri,2014,103387
Rajouri,2015,100654
Rajouri,2016,101543
Rajouri,2017,102517
Srinagar,2011,10234
Srinagar,2012,10230
Srinagar,2013,10801
Srinagar,2014,10792
Srinagar,2015,8199
Srinagar,2016,8230
Srinagar,2017,8229
Udhampur,2011,82549
Udhampur,2012,82135
Udhampur,2013,81493
Udhampur,2014,81478
Udhampur,2015,83432
Udhampur,2016,92765
Udhampur,2017,94784
Kishtwar,2011,21766
Kishtwar,2012,23465
Kishtwar,2013,22706
Kishtwar,2014,21671
Kishtwar,2015,21334
Kishtwar,2016,20027
Kishtwar,2017,20214
Ramban,2011,24847
Ramban,2012,24943
Ramban,2013,21872
Ramban,2014,25391
Ramban,2015,25933
Ramban,2016,25396
Ramban,2017,24796
Kulgam,2011,39340
Kulgam,2012,39312
Kulgam,2013,39313
Kulgam,2014,42627
Kulgam,2015,40597
Kulgam,2016,40695
Kulgam,2017,42271
Bandipora,2011,24076
Bandipora,2012,24017
Bandipora,2013,23828
Bandipora,2014,23887
Bandipora,2015,28977
Bandipora,2016,27769
Bandipora,2017,29624
