Dist Code,Year,State Code,State,District,NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha),TOTAL PER HA OF GCA (Kg per ha)
1,2000,14,Chhattisgarh,Durg,35349,59.45,34.47,29.14,18393,30.93,17.94,15.16,5722,9.62,5.58,4.72,59464,57.99,49.03
1,2001,14,Chhattisgarh,Durg,39695,64.02,38.25,29.54,17621,28.42,16.98,13.11,4692,7.57,4.52,3.49,62007,59.75,46.14
1,2002,14,Chhattisgarh,Durg,33215,59.23,32.11,25.84,16959,30.24,16.39,13.19,5909,10.54,5.71,4.6,56082,54.22,43.63
1,2003,14,Chhattisgarh,Durg,32666,61.75,31.39,23.64,14731,27.85,14.16,10.66,5504,10.4,5.29,3.98,52900,50.84,38.29
1,2004,14,Chhattisgarh,Durg,48957,60.42,47,34.52,23367,28.84,22.44,16.48,8698,10.74,8.35,6.13,81022,77.79,57.13
1,2005,14,Chhattisgarh,Durg,52889,60.61,50.67,36.8,23912,27.4,22.91,16.64,10466,11.99,10.03,7.28,87267,83.61,60.73
1,2006,14,Chhattisgarh,Durg,63979,59.71,61.4,44.56,30775,28.72,29.54,21.43,12392,11.57,11.89,8.63,107146,102.83,74.63
1,2007,14,Chhattisgarh,Durg,60332,60.73,58,41.71,27558,27.74,26.49,19.05,11458,11.53,11.01,7.92,99347,95.51,68.68
1,2008,14,Chhattisgarh,Durg,52406,50.46,50.7,37.62,33856,32.6,32.75,24.3,17602,16.95,17.03,12.63,103864,100.48,74.56
1,2009,14,Chhattisgarh,Durg,72854,55.13,70.82,53.45,41198,31.18,40.05,30.23,18091,13.69,17.58,13.27,132143,128.45,96.95
1,2010,14,Chhattisgarh,Durg,77428,54.47,75.27,55.08,45186,31.79,43.93,32.15,19542,13.75,19,13.9,142156,138.2,101.13
1,2011,14,Chhattisgarh,Durg,72843,53.56,70.69,51.66,45815,33.69,44.46,32.49,17339,12.75,16.83,12.3,135997,131.98,96.46
1,2012,14,Chhattisgarh,Durg,93725,58.43,91.08,66.19,50474,31.47,49.05,35.65,16214,10.11,15.76,11.45,160413,155.88,113.29
1,2013,14,Chhattisgarh,Durg,80745,58.05,78.35,56.41,42228,30.36,40.98,29.5,16125,11.59,15.65,11.27,139098,134.98,97.18
1,2014,14,Chhattisgarh,Durg,92459,56.7,90.1,64.26,54358,33.33,52.97,37.78,16254,9.97,15.84,11.3,163071,158.92,113.34
1,2015,14,Chhattisgarh,Durg,109099,57.14,105.92,75.87,62410,32.69,60.59,43.4,19424,10.17,18.86,13.51,190933,185.37,132.77
1,2016,14,Chhattisgarh,Durg,103328,54.12,99.53,70.39,66895,35.04,64.43,45.57,20714,10.85,19.95,14.11,190937,183.91,130.07
1,2017,14,Chhattisgarh,Durg,91447,56.47,-1,-1,53486,33.03,-1,-1,16993,10.49,-1,-1,161926,-1,-1
2,2000,14,Chhattisgarh,Bastar,7060,67.35,8.2,7.99,2551,24.34,2.96,2.89,871,8.31,1.01,0.99,10482,12.18,11.86
2,2001,14,Chhattisgarh,Bastar,8975,63.91,10.42,10.1,3729,26.55,4.33,4.2,1339,9.53,1.55,1.51,14043,16.3,15.8
2,2002,14,Chhattisgarh,Bastar,6298,58.98,7.5,7.32,3230,30.25,3.84,3.75,1151,10.78,1.37,1.34,10679,12.71,12.41
2,2003,14,Chhattisgarh,Bastar,6474,59.59,7.63,7.38,3114,28.66,3.67,3.55,1276,11.75,1.5,1.46,10864,12.8,12.39
2,2004,14,Chhattisgarh,Bastar,9315,59.18,10.99,10.63,4360,27.7,5.14,4.98,2064,13.11,2.43,2.36,15739,18.57,17.96
2,2005,14,Chhattisgarh,Bastar,10661,61.11,12.59,12.17,4827,27.67,5.7,5.51,1959,11.23,2.31,2.24,17447,20.6,19.91
2,2006,14,Chhattisgarh,Bastar,12218,58.53,14.05,13.55,6136,29.4,7.05,6.8,2520,12.07,2.9,2.79,20874,24,23.14
2,2007,14,Chhattisgarh,Bastar,9710,70.9,11.86,11.42,3270,23.88,3.99,3.84,715,5.22,0.87,0.84,13695,16.73,16.1
2,2008,14,Chhattisgarh,Bastar,11578,56.18,14.13,13.61,5451,26.45,6.65,6.41,3579,17.37,4.37,4.21,20608,25.14,24.23
2,2009,14,Chhattisgarh,Bastar,17440,58.67,21.33,20.57,9076,30.53,11.1,10.7,3212,10.8,3.93,3.79,29728,36.36,35.06
2,2010,14,Chhattisgarh,Bastar,16819,52.94,20.1,19.35,9675,30.45,11.56,11.13,5277,16.61,6.31,6.07,31771,37.96,36.55
2,2011,14,Chhattisgarh,Bastar,16701,54.65,20.53,19.77,10399,34.03,12.78,12.31,3459,11.32,4.25,4.09,30559,37.57,36.17
2,2012,14,Chhattisgarh,Bastar,22885,57.88,27.97,26.92,12120,30.65,14.82,14.26,4535,11.47,5.54,5.33,39540,48.33,46.51
2,2013,14,Chhattisgarh,Bastar,18748,58.15,22.85,21.96,9581,29.72,11.68,11.22,3912,12.13,4.77,4.58,32241,39.3,37.77
2,2014,14,Chhattisgarh,Bastar,21424,56.73,26.05,25.01,11737,31.08,14.27,13.7,4606,12.2,5.6,5.38,37767,45.92,44.09
2,2015,14,Chhattisgarh,Bastar,19698,51.49,24.26,23.32,13415,35.07,16.52,15.88,5141,13.44,6.33,6.09,38254,47.12,45.3
2,2016,14,Chhattisgarh,Bastar,22592,54.07,27.64,26.6,13794,33.01,16.88,16.24,5394,12.91,6.6,6.35,41783,51.13,49.2
2,2017,14,Chhattisgarh,Bastar,21279,55.8,-1,-1,12584,33,-1,-1,4271,11.2,-1,-1,38134,-1,-1
3,2000,14,Chhattisgarh,Raipur,47700,57.73,50.83,45.57,26145,31.64,27.86,24.98,8783,10.63,9.36,8.39,82628,88.05,78.93
3,2001,14,Chhattisgarh,Raipur,50959,62.07,53.57,45.02,23621,28.77,24.83,20.87,7522,9.16,7.91,6.65,82102,86.31,72.53
3,2002,14,Chhattisgarh,Raipur,48351,60.15,50.99,44.04,23686,29.46,24.98,21.58,8351,10.39,8.81,7.61,80388,84.78,73.23
3,2003,14,Chhattisgarh,Raipur,47900,61.22,50.45,40.54,22409,28.64,23.6,18.97,7939,10.15,8.36,6.72,78248,82.42,66.23
3,2004,14,Chhattisgarh,Raipur,68747,59.1,72.32,58.5,33795,29.05,35.55,28.76,13790,11.85,14.51,11.73,116332,122.37,98.99
3,2005,14,Chhattisgarh,Raipur,72879,53.8,76.88,61.56,47155,34.81,49.75,39.83,15430,11.39,16.28,13.03,135464,142.91,114.42
3,2006,14,Chhattisgarh,Raipur,101407,59.71,106.99,84.97,46657,27.47,49.22,39.09,21781,12.82,22.98,18.25,169845,179.19,142.31
3,2007,14,Chhattisgarh,Raipur,106660,55.53,112.51,88.25,55126,28.7,58.15,45.61,30274,15.76,31.93,25.05,192060,202.59,158.91
3,2008,14,Chhattisgarh,Raipur,106007,57.91,112.44,90.05,53556,29.26,56.81,45.49,23481,12.83,24.91,19.95,183044,194.16,155.49
3,2009,14,Chhattisgarh,Raipur,115245,57.89,122.84,99.79,59287,29.78,63.19,51.33,24550,12.33,26.17,21.26,199082,212.2,172.38
3,2010,14,Chhattisgarh,Raipur,127705,58.2,135.75,108.06,64093,29.21,68.13,54.23,27617,12.59,29.36,23.37,219415,233.24,185.66
3,2011,14,Chhattisgarh,Raipur,143926,60.44,153.17,123.97,66868,28.08,71.16,57.6,27341,11.48,29.1,23.55,238135,253.43,205.12
3,2012,14,Chhattisgarh,Raipur,140933,64.93,150.44,119.01,63782,29.39,68.08,53.86,12325,5.68,13.16,10.41,217040,231.68,183.28
3,2013,14,Chhattisgarh,Raipur,133516,62.71,141.02,112.07,62690,29.44,66.21,52.62,16718,7.85,17.66,14.03,212924,224.89,178.73
3,2014,14,Chhattisgarh,Raipur,131220,62.99,137.59,107.5,56975,27.35,59.74,46.68,20116,9.66,21.09,16.48,208311,218.42,170.65
3,2015,14,Chhattisgarh,Raipur,127207,65.03,134.22,109.49,51969,26.57,54.84,44.73,16422,8.4,17.33,14.13,195598,206.39,168.35
3,2016,14,Chhattisgarh,Raipur,118345,58.88,125.78,100.6,65193,32.43,69.29,55.42,17469,8.69,18.57,14.85,201005,213.64,170.86
3,2017,14,Chhattisgarh,Raipur,92008,59.44,-1,-1,47721,30.83,-1,-1,15054,9.73,-1,-1,154783,-1,-1
4,2000,14,Chhattisgarh,Bilaspur,36684,68.82,45.27,39.16,13876,26.03,17.13,14.81,2742,5.14,3.38,2.93,53302,65.78,56.89
4,2001,14,Chhattisgarh,Bilaspur,47381,70.5,57.81,48.54,16418,24.43,20.03,16.82,3412,5.08,4.16,3.5,67212,82.01,68.86
4,2002,14,Chhattisgarh,Bilaspur,44865,69.07,55.31,46.82,16255,25.02,20.04,16.96,3837,5.91,4.73,4,64958,80.07,67.78
4,2003,14,Chhattisgarh,Bilaspur,48851,75.55,59.81,48.86,11726,18.14,14.36,11.73,4082,6.31,5,4.08,64660,79.17,64.67
