State,Year,ratio
Jammu And Kashmir,2011,0.805267998
Jammu And Kashmir,2011,0.804582903
Jammu And Kashmir,2012,0.810159501
Jammu And Kashmir,2012,0.866184358
Jammu And Kashmir,2013,0.800273639
Jammu And Kashmir,2013,0.869029553
Jammu And Kashmir,2014,0.752396765
Jammu And Kashmir,2014,0.9243497
Jammu And Kashmir,2015,0.743394805
Jammu And Kashmir,2015,0.949537311
Jammu And Kashmir,2016,0.787373541
Jammu And Kashmir,2016,0.92066486
Jammu And Kashmir,2017,0.768904993
Punjab,2012,1.024900993
Jammu And Kashmir,2017,0.977885066
Jammu And Kashmir,2018,0.773412831
Jammu And Kashmir,2018,1.012797867
Jammu And Kashmir,2019,0.982709021
Jammu And Kashmir,2020,0.713210432
Jammu And Kashmir,2020,0.960998377
Himachal Pradesh,2011,0.788629394
Himachal Pradesh,2011,0.873987656
Himachal Pradesh,2012,0.760613064
Himachal Pradesh,2012,1.036679261
Himachal Pradesh,2013,0.736946991
Himachal Pradesh,2013,1.03102155
Himachal Pradesh,2014,0.837301587
Himachal Pradesh,2014,0.981988817
Himachal Pradesh,2015,0.872734935
Himachal Pradesh,2015,1.021504032
Himachal Pradesh,2016,0.485875706
Himachal Pradesh,2016,0.982242273
Himachal Pradesh,2017,1.006093451
Himachal Pradesh,2018,1.01255608
Himachal Pradesh,2019,1.094299531
Himachal Pradesh,2020,1.103523
Punjab,2011,1.35003637
Punjab,2011,1.088618312
Punjab,2013,0.934806671
Punjab,2014,0.961165425
Punjab,2015,0.956422727
Punjab,2016,0.919954453
Punjab,2017,1.035595786
Punjab,2018,0.590604776
Punjab,2018,1.026563813
Punjab,2019,0.463273917
Punjab,2019,0.882224487
Punjab,2020,0.89606892
Uttarakhand,2011,0.726757662
Uttarakhand,2011,0.959009901
Uttarakhand,2012,0.763076241
Uttarakhand,2012,1.090482044
Uttarakhand,2013,0.919181841
Uttarakhand,2013,1.043399299
Uttarakhand,2014,1.028816467
Uttarakhand,2014,1.217222482
Uttarakhand,2015,0.876025237
Uttarakhand,2015,1.076108456
Uttarakhand,2016,0.296296296
Uttarakhand,2016,0.084527221
Uttarakhand,2016,0.94801444
Uttarakhand,2016,1.175490282
Uttarakhand,2017,0.974937343
Uttarakhand,2017,1.145868356
Uttarakhand,2017,0.333333333
Uttarakhand,2017,0.070605187
Uttarakhand,2018,0.832786885
Uttarakhand,2018,1.137523924
Uttarakhand,2018,0.264705882
Uttarakhand,2018,0.065073041
Uttarakhand,2019,0.80192205
Uttarakhand,2019,1.168597875
Uttarakhand,2019,0.06187291
Uttarakhand,2019,0.12
Uttarakhand,2020,0.992616899
Uttarakhand,2020,1.160761869
Uttarakhand,2020,0.125
Uttarakhand,2020,0.076452599
Haryana,2011,0.317793594
Haryana,2011,0.999537137
Haryana,2012,0.339122562
Haryana,2012,1.022900498
Haryana,2013,0.34812099
Haryana,2013,1.062471719
Haryana,2014,0.414871397
Haryana,2014,0.92165732
Haryana,2015,0.398260212
Haryana,2015,1.064901669
Haryana,2016,0.055053715
Haryana,2016,0.989909644
Haryana,2017,NA
Haryana,2017,0.961367702
Haryana,2018,0.994236865
Haryana,2019,0.970868174
Haryana,2020,1.008423835
Delhi,2011,0.633127208
Delhi,2011,0.817732608
Delhi,2011,0.312653061
Delhi,2011,0.852007231
Delhi,2012,0.576309349
Delhi,2012,0.835226431
Delhi,2012,0.313796213
Delhi,2012,0.841411133
Delhi,2013,0.572859141
Delhi,2013,0.840414723
Delhi,2013,0.289811321
Delhi,2013,0.863133061
Delhi,2014,0.620412443
Delhi,2014,0.851835354
Delhi,2014,0.334448161
Delhi,2014,0.873590697
Delhi,2015,0.578231988
Delhi,2015,0.859683167
Delhi,2015,0.331666667
Delhi,2015,0.877659276
Delhi,2016,0.664756447
Delhi,2016,0.854823092
Delhi,2016,0.281051677
Delhi,2016,0.896033403
Delhi,2016,0.633136095
Delhi,2017,0.553678852
Delhi,2017,0.859036384
Delhi,2017,0.265035678
Delhi,2017,0.891903613
Delhi,2017,0.607003891
Delhi,2018,0.525481314
Delhi,2018,0.854167899
Delhi,2018,0.296266234
Delhi,2018,0.922082178
Delhi,2018,0.587088916
Delhi,2019,1.633217993
Delhi,2019,0.845521143
Delhi,2019,0.276080692
Delhi,2019,0.900993795
Delhi,2019,0.545667447
Delhi,2020,0.474217168
Delhi,2020,0.828430644
Delhi,2020,0.29468599
Delhi,2020,0.903289563
Delhi,2020,0.598984772
Rajasthan,2011,14
Rajasthan,2011,0.899688352
Rajasthan,2011,0.586957896
Rajasthan,2012,13.64285714
Rajasthan,2012,0.843662953
Rajasthan,2012,0.618100596
Rajasthan,2013,11.13793103
Rajasthan,2013,0.812301473
Rajasthan,2013,0.631057889
Rajasthan,2014,10.73333333
Rajasthan,2014,0.738497186
Rajasthan,2014,0.640938795
Rajasthan,2015,23.52941176
Rajasthan,2015,0.756696429
Rajasthan,2015,0.674064936
Rajasthan,2016,15.6
Rajasthan,2016,0.803018868
Rajasthan,2016,0.681175553
Rajasthan,2017,28.47058824
Rajasthan,2017,0.644655386
Rajasthan,2017,0.72611406
Rajasthan,2018,25.5
Rajasthan,2018,0.403628894
Rajasthan,2018,0.736350082
Rajasthan,2019,47
Uttar Pradesh,2018,1.184615385
Rajasthan,2019,0.348069555
Rajasthan,2019,0.763449279
Rajasthan,2020,41.23529412
Rajasthan,2020,0.271889401
Rajasthan,2020,0.80073451
Uttar Pradesh,2011,0.424668123
Uttar Pradesh,2011,1.263659625
Uttar Pradesh,2012,0.331861788
Uttar Pradesh,2012,0.888880666
Uttar Pradesh,2013,0.329993123
Uttar Pradesh,2013,0.863511886
Uttar Pradesh,2014,0.294770165
Uttar Pradesh,2014,0.885224355
Uttar Pradesh,2015,0.282813846
Uttar Pradesh,2015,0.961635844
Uttar Pradesh,2016,0.715034965
Uttar Pradesh,2016,1.322580645
Uttar Pradesh,2016,1.149870801
Uttar Pradesh,2016,0.542937853
Uttar Pradesh,2016,0.279633205
Uttar Pradesh,2016,0.895739958
Uttar Pradesh,2017,2.489583333
Uttar Pradesh,2017,0.801051709
Uttar Pradesh,2017,0.533417085
Uttar Pradesh,2017,1.058343999
Uttar Pradesh,2017,0.590909091
Uttar Pradesh,2017,0.510446686
Uttar Pradesh,2017,1.279661017
Uttar Pradesh,2018,1.65
Uttar Pradesh,2018,0.877535101
Uttar Pradesh,2018,0.66777159
Uttar Pradesh,2018,0.998093039
Uttar Pradesh,2018,0.590909091
Uttar Pradesh,2018,0.510446686
Uttar Pradesh,2019,1.517006803
Uttar Pradesh,2019,0.678909953
Uttar Pradesh,2019,0.608248618
Uttar Pradesh,2019,1.066105094
Uttar Pradesh,2019,1.156862745
Uttar Pradesh,2019,0.831428571
Uttar Pradesh,2019,0.399777558
Uttar Pradesh,2020,1.586419753
Uttar Pradesh,2020,0.679154079
Uttar Pradesh,2020,0.50474846
Uttar Pradesh,2020,0.947717303
