4 - List Of Successful Candidate,,,,,,,,
,,,,,,,,
SL. No.,STATE,CONSTITUENCY,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,MARGIN
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,GEN,GENERAL,INC,Hand,1407
2,Andhra Pradesh,Kakinada,VANGA GEETHAVISWANATH,GEN,GENERAL,YSRCP,Ceiling Fan,25738
3,Andhra Pradesh,Amalapuram ,CHINTA ANURADHA,SC,SC,YSRCP,Ceiling Fan,39795
4,Andhra Pradesh,Rajahmundry,MARGANI BHARAT,GEN,GENERAL,YSRCP,Ceiling Fan,121634
5,Andhra Pradesh,Narsapuram,KANUMURU RAGHU RAMA KRISHNA RAJU,GEN,GENERAL,YSRCP,Ceiling Fan,32676
6,Andhra Pradesh,Eluru ,KOTAGIRI SRIDHAR,GEN,GENERAL,YSRCP,Ceiling Fan,165925
7,Andhra Pradesh,Machilipatnam ,BALASHOWRY VALLABHANENI,GEN,GENERAL,YSRCP,Ceiling Fan,60238
8,Andhra Pradesh,Vijayawada,KESINENI SRINIVAS (NANI),GEN,GENERAL,TDP,Bicycle,8726
9,Andhra Pradesh,Guntur,Jayadev Galla,GEN,GENERAL,TDP,Bicycle,4205
10,Andhra Pradesh,Narasaraopet,LAVU SRI KRISHNA DEVARAYALU,GEN,GENERAL,YSRCP,Ceiling Fan,154002
11,Andhra Pradesh,Bapatla ,NANDIGAM SURESH,SC,SC,YSRCP,Ceiling Fan,16065
12,Andhra Pradesh,Ongole ,MAGUNTA SREENIVASULU REDDY,GEN,GENERAL,YSRCP,Ceiling Fan,214851
13,Andhra Pradesh,Nandyal,POCHA . BRAHMANANDA REDDY,GEN,GENERAL,YSRCP,Ceiling Fan,250119
14,Andhra Pradesh,Kurnool,AYUSHMAN DOCTOR SANJEEV KUMAR,GEN,GENERAL,YSRCP,Ceiling Fan,149067
15,Andhra Pradesh,Anantapur,TALARI RANGAIAH,GEN,GENERAL,YSRCP,Ceiling Fan,141428
16,Andhra Pradesh,Hindupur,KURUVA GORANTLA MADHAV,GEN,GENERAL,YSRCP,Ceiling Fan,140748
17,Andhra Pradesh,Kadapa,Y.S.Avinash Reddy,GEN,GENERAL,YSRCP,Ceiling Fan,380726
