State,Total Landless agricultural labourers (Census 2001),Total Landless agricultural labourers (Census 2011),Change in number of Landless agricultural labourers
JAMMU & KASHMIR,246421,547705,301284
HIMACHAL PRADESH,94171,175038,80867
PUNJAB,1489861,1588455,98594
CHANDIGARH,563,1687,1124
UTTRANCHAL,259683,403301,143618
HARYANA,1278821,1528133,249312
DELHI,15773,39475,23702
RAJASTHAN,2523719,4939664,2415945
UTTAR PRADESH,13400911,19939223,6538312
BIHAR,13418140,18345649,4927509
SIKKIM,17000,25986,8986
ARUNACHAL PRADESH,18840,36171,17331
NAGALAND,30907,62962,32055
MANIPUR(Excl.3 sub-divisions),113630,114918,1288
MIZORAM,26783,41787,15004
TRIPURA,276132,353618,77486
MEGHALAYA,171694,198364,26670
ASSAM,1263532,1845346,581814
WEST BENGAL,7362957,10188842,2825885
JHARKHAND,2851297,4436052,1584755
ODISHA,4998181,6739993,1741812
CHHATTISGARH,3091358,5091832,2000474
MADHYA PRADESH,7400670,12192267,4791597
GUJARAT,5161658,6839415,1677757
DAMAN & DIU,1323,772,-551
DADRA & NAGAR HAVELI,14715,17799,3084
MAHARASHTRA,10815262,13486140,2670878
ANDHRA PRADESH,13832152,16967754,3135602
KARNATAKA,6226942,7155963,929021
GOA,35806,26760,-9046
LAKSHADWEEP,NA,NA,NA
KERALA,1620851,1322850,-298001
TAMIL NADU,8637630,9606547,968917
PONDICHERRY,72251,68391,-3860
ANDAMAN & NICOBAR ISLANDS,5169,4781,-388
India,106775330,144333690,37558360
