Dist Code,Year,State Code,State,District,CANALS AREA (1000 ha),TANKS AREA (1000 ha),TUBE WELLS AREA (1000 ha),OTHER WELLS AREA (1000 ha),TOTAL WELLS AREA (1000 ha),OTHER SOURCES AREA (1000 ha),NET AREA (1000 ha),GROSS AREA (1000 ha)
1,2000,14,Chhattisgarh,Durg,140.29,12.24,49.62,9.3,58.91,23.59,235.03,266.78
1,2001,14,Chhattisgarh,Durg,204.12,12.03,54.73,7.41,62.12,25.72,304.02,341.55
1,2002,14,Chhattisgarh,Durg,164.84,8.61,60.08,8.11,68.19,25.36,266.99,302.77
1,2003,14,Chhattisgarh,Durg,175.33,7.95,56.24,7.36,63.6,23.08,269.95,313.63
1,2004,14,Chhattisgarh,Durg,189.88,15.71,76.83,6.55,83.37,20.97,309.95,368.27
1,2005,14,Chhattisgarh,Durg,195.78,11.05,84.2,5.92,90.11,21.18,318.12,384.85
1,2006,14,Chhattisgarh,Durg,194.2,10.05,98.69,5.71,104.39,20.89,329.54,410.76
1,2007,14,Chhattisgarh,Durg,204.76,11.61,101.57,4.92,106.48,22.16,345,439.49
1,2008,14,Chhattisgarh,Durg,181.87,8.71,118.15,4.53,122.68,21.35,334.59,437.93
1,2009,14,Chhattisgarh,Durg,160.96,7.65,131.02,4.01,135.04,15.11,318.75,412.81
1,2010,14,Chhattisgarh,Durg,187.09,7.31,131.68,4.25,135.93,14.32,344.65,462.9
1,2011,14,Chhattisgarh,Durg,192.08,0,143.04,3.58,146.62,7.38,346.08,481.57
1,2012,14,Chhattisgarh,Durg,195.14,9.86,153.83,3.3,157.15,10.46,372.6,506.04
1,2013,14,Chhattisgarh,Durg,197.4,10.73,161.84,3.32,165.15,8.12,381.39,535.27
1,2014,14,Chhattisgarh,Durg,194.59,8.98,274.78,3.31,278.09,7.03,488.69,691.32
1,2015,14,Chhattisgarh,Durg,113.18,4.56,104.18,4.7,108.9,11.97,238.61,321.33
1,2016,14,Chhattisgarh,Durg,186.46,10.33,204.22,3.46,207.69,10.71,415.18,600.62
2,2000,14,Chhattisgarh,Bastar,6.36,8.94,1.37,2.31,3.68,7.04,26.02,26.02
2,2001,14,Chhattisgarh,Bastar,7.08,9.08,0.52,2.45,2.97,9.72,29.12,30.17
2,2002,14,Chhattisgarh,Bastar,6.83,8.37,6.16,2.26,8.42,5.59,29.2,29.2
2,2003,14,Chhattisgarh,Bastar,10.36,4.81,6.04,2,8.05,6.62,29.82,29.82
2,2004,14,Chhattisgarh,Bastar,10.5,5.28,7.06,1.93,8.99,6.8,31.58,31.58
2,2005,14,Chhattisgarh,Bastar,12.01,5.3,6.81,1.91,8.72,7.69,33.71,33.71
2,2006,14,Chhattisgarh,Bastar,11.58,5.09,7.12,1.88,9,9.78,35.43,35.43
2,2007,14,Chhattisgarh,Bastar,9.13,8.31,7.79,1.62,9.4,9.77,36.61,36.67
2,2008,14,Chhattisgarh,Bastar,9.69,8.18,7.49,1.67,9.15,10.13,37.16,37.16
2,2009,14,Chhattisgarh,Bastar,9.28,8.05,7.94,1.75,9.68,10.7,37.69,37.69
2,2010,14,Chhattisgarh,Bastar,8.25,8.33,9.4,1.62,11.02,13.54,41.13,41.13
2,2011,14,Chhattisgarh,Bastar,8.88,1.85,8.43,1.41,9.84,17.32,37.88,42.72
2,2012,14,Chhattisgarh,Bastar,9.74,6.99,15.29,1.4,16.68,10.75,44.16,44.16
2,2013,14,Chhattisgarh,Bastar,8.75,7.19,24.22,1.23,25.42,5.79,47.16,47.16
2,2014,14,Chhattisgarh,Bastar,21.69,7.25,111.78,43.78,155.55,6.03,190.51,275.16
2,2015,14,Chhattisgarh,Bastar,87.53,6.13,52.19,1.42,53.61,5.17,152.42,172.47
2,2016,14,Chhattisgarh,Bastar,6.28,6.85,19.03,0.88,19.9,5.27,38.3,50.45
3,2000,14,Chhattisgarh,Raipur,280.6,18.36,41,12.66,53.64,17.61,370.23,376.65
3,2001,14,Chhattisgarh,Raipur,352.85,20.96,44.52,11.07,55.6,16.34,445.74,454.06
3,2002,14,Chhattisgarh,Raipur,304.07,21.53,46.78,9.81,56.59,20.32,402.49,412.79
3,2003,14,Chhattisgarh,Raipur,316.87,19.8,48.69,8.83,57.52,13.38,407.57,425.78
3,2004,14,Chhattisgarh,Raipur,340.48,19.85,63.36,8.79,72.15,16.51,448.98,465.48
3,2005,14,Chhattisgarh,Raipur,352.25,19.43,64.74,6.9,71.64,16.58,459.89,487.36
3,2006,14,Chhattisgarh,Raipur,359.09,20.14,63.14,7.15,70.3,17.28,466.79,524.84
3,2007,14,Chhattisgarh,Raipur,373.13,19.42,71.49,5.72,77.21,15.2,484.95,547.66
3,2008,14,Chhattisgarh,Raipur,365.64,19.5,90.05,5.18,95.23,15,495.37,516.63
3,2009,14,Chhattisgarh,Raipur,361.06,18.89,85.98,4.9,90.86,13.46,484.27,516.98
3,2010,14,Chhattisgarh,Raipur,355.22,16.14,86.02,4.66,90.68,16.58,478.61,565.86
3,2011,14,Chhattisgarh,Raipur,365.02,0,101.76,3.77,105.54,15.72,486.26,547.77
3,2012,14,Chhattisgarh,Raipur,366.81,14.03,119.38,3.63,123,16,519.84,596.26
3,2013,14,Chhattisgarh,Raipur,366.82,13.84,116.51,3.71,120.21,14.82,515.67,604.58
3,2014,14,Chhattisgarh,Raipur,360.18,13.44,116.39,3.43,119.82,14.24,507.67,617.93
3,2015,14,Chhattisgarh,Raipur,304.48,18.31,188.97,2.18,191.16,10.6,524.53,641.09
3,2016,14,Chhattisgarh,Raipur,356.81,12.56,135.64,3.27,138.9,15.65,523.91,617.08
4,2000,14,Chhattisgarh,Bilaspur,217.62,9.66,26.53,5.84,32.37,7.17,266.81,280.31
4,2001,14,Chhattisgarh,Bilaspur,236.06,9.21,22.2,8.86,31.07,8.12,284.45,303.4
4,2002,14,Chhattisgarh,Bilaspur,224.61,9.64,27.94,9.11,37.04,7.64,278.92,298.57
4,2003,14,Chhattisgarh,Bilaspur,227.62,9.11,26.16,7.61,33.77,6.29,276.81,298.19
4,2004,14,Chhattisgarh,Bilaspur,254.25,9.43,24.86,11.31,36.18,12.28,312.14,333.17
4,2005,14,Chhattisgarh,Bilaspur,278.87,9.14,23.97,9.48,33.44,5.63,327.1,351.48
4,2006,14,Chhattisgarh,Bilaspur,281.87,9.12,28.59,9.82,38.4,6.42,335.82,392.33
4,2007,14,Chhattisgarh,Bilaspur,290.54,9.56,38.38,7.35,45.72,5.89,351.7,377.08
4,2008,14,Chhattisgarh,Bilaspur,296.61,7.97,37.92,7.27,45.19,5.93,355.73,422.49
4,2009,14,Chhattisgarh,Bilaspur,305.21,8.78,38.06,6.14,44.19,6.32,364.51,394.51
4,2010,14,Chhattisgarh,Bilaspur,313.2,6.88,39.36,6.42,45.78,5.9,371.75,407.43
4,2011,14,Chhattisgarh,Bilaspur,271.07,0,96.24,2.98,99.22,5.86,376.16,441.64
4,2012,14,Chhattisgarh,Bilaspur,271.03,12.08,96.86,2.48,99.34,5.82,388.28,443.01
4,2013,14,Chhattisgarh,Bilaspur,268.69,11.52,101.89,2.16,104.04,4.44,388.69,422.6
4,2014,14,Chhattisgarh,Bilaspur,311.21,6.01,54.5,3.74,58.23,3.99,379.44,426.83
4,2015,14,Chhattisgarh,Bilaspur,262.26,6.53,45.41,3.84,49.23,6.64,324.68,365.7
4,2016,14,Chhattisgarh,Bilaspur,315.33,4.43,51.58,3.75,55.33,3.78,378.84,435.22
5,2000,14,Chhattisgarh,Raigarh,21.74,1.82,12.32,2.69,15.01,9.1,48.18,53.1
5,2001,14,Chhattisgarh,Raigarh,22.05,5.16,16.24,2.74,18.98,6.82,53.02,55
5,2002,14,Chhattisgarh,Raigarh,22.32,5.39,16.82,2.99,19.81,7.12,54.63,57.59
5,2003,14,Chhattisgarh,Raigarh,24.55,5.86,21.37,2.9,24.28,8.54,63.22,65.79
5,2004,14,Chhattisgarh,Raigarh,21.01,5.68,24.13,2.91,27.03,8.39,62.06,67.24
