"Dist Code","Year","State Code","State Name","Dist Name","BANKS NUMBER (Number)","POST OFFICES NUMBER (Number)"
"1","2000","14","Chhattisgarh","Durg","241.0","-1.0"
"1","2001","14","Chhattisgarh","Durg","240.0","-1.0"
"1","2002","14","Chhattisgarh","Durg","240.0","-1.0"
"1","2003","14","Chhattisgarh","Durg","242.0","-1.0"
"1","2004","14","Chhattisgarh","Durg","244.0","-1.0"
"1","2005","14","Chhattisgarh","Durg","244.0","-1.0"
"1","2006","14","Chhattisgarh","Durg","248.0","-1.0"
"1","2007","14","Chhattisgarh","Durg","259.0","-1.0"
"1","2008","14","Chhattisgarh","Durg","270.0","-1.0"
"1","2009","14","Chhattisgarh","Durg","277.0","-1.0"
"1","2010","14","Chhattisgarh","Durg","287.0","-1.0"
"2","2000","14","Chhattisgarh","Bastar","121.0","-1.0"
"2","2001","14","Chhattisgarh","Bastar","118.0","-1.0"
"2","2002","14","Chhattisgarh","Bastar","118.0","-1.0"
"2","2003","14","Chhattisgarh","Bastar","116.0","-1.0"
"2","2004","14","Chhattisgarh","Bastar","111.0","-1.0"
"2","2005","14","Chhattisgarh","Bastar","111.0","-1.0"
"2","2006","14","Chhattisgarh","Bastar","114.0","-1.0"
"2","2007","14","Chhattisgarh","Bastar","119.0","-1.0"
"2","2008","14","Chhattisgarh","Bastar","122.0","-1.0"
"2","2009","14","Chhattisgarh","Bastar","123.0","-1.0"
"2","2010","14","Chhattisgarh","Bastar","130.0","-1.0"
"3","2000","14","Chhattisgarh","Raipur","225.0","-1.0"
"3","2001","14","Chhattisgarh","Raipur","230.0","-1.0"
"3","2002","14","Chhattisgarh","Raipur","231.0","-1.0"
"3","2003","14","Chhattisgarh","Raipur","234.0","-1.0"
"3","2004","14","Chhattisgarh","Raipur","239.0","-1.0"
"3","2005","14","Chhattisgarh","Raipur","234.0","-1.0"
"3","2006","14","Chhattisgarh","Raipur","243.0","-1.0"
"3","2007","14","Chhattisgarh","Raipur","261.0","-1.0"
"3","2008","14","Chhattisgarh","Raipur","286.0","-1.0"
"3","2009","14","Chhattisgarh","Raipur","292.0","-1.0"
"3","2010","14","Chhattisgarh","Raipur","321.0","-1.0"
"4","2000","14","Chhattisgarh","Bilaspur","214.0","-1.0"
"4","2001","14","Chhattisgarh","Bilaspur","205.0","-1.0"
"4","2002","14","Chhattisgarh","Bilaspur","205.0","-1.0"
"4","2003","14","Chhattisgarh","Bilaspur","204.0","-1.0"
"4","2004","14","Chhattisgarh","Bilaspur","208.0","-1.0"
"4","2005","14","Chhattisgarh","Bilaspur","205.0","-1.0"
"4","2006","14","Chhattisgarh","Bilaspur","211.0","-1.0"
"4","2007","14","Chhattisgarh","Bilaspur","220.0","-1.0"
"4","2008","14","Chhattisgarh","Bilaspur","238.0","-1.0"
"4","2009","14","Chhattisgarh","Bilaspur","246.0","-1.0"
"4","2010","14","Chhattisgarh","Bilaspur","263.0","-1.0"
"5","2000","14","Chhattisgarh","Raigarh","102.0","-1.0"
"5","2001","14","Chhattisgarh","Raigarh","101.0","-1.0"
"5","2002","14","Chhattisgarh","Raigarh","100.0","-1.0"
"5","2003","14","Chhattisgarh","Raigarh","101.0","-1.0"
"5","2004","14","Chhattisgarh","Raigarh","102.0","-1.0"
"5","2005","14","Chhattisgarh","Raigarh","102.0","-1.0"
"5","2006","14","Chhattisgarh","Raigarh","106.0","-1.0"
"5","2007","14","Chhattisgarh","Raigarh","111.0","-1.0"
"5","2008","14","Chhattisgarh","Raigarh","123.0","-1.0"
"5","2009","14","Chhattisgarh","Raigarh","126.0","-1.0"
"5","2010","14","Chhattisgarh","Raigarh","137.0","-1.0"
"6","2000","14","Chhattisgarh","Surguja","142.0","-1.0"
"6","2001","14","Chhattisgarh","Surguja","142.0","-1.0"
"6","2002","14","Chhattisgarh","Surguja","142.0","-1.0"
"6","2003","14","Chhattisgarh","Surguja","142.0","-1.0"
"6","2004","14","Chhattisgarh","Surguja","142.0","-1.0"
"6","2005","14","Chhattisgarh","Surguja","141.0","-1.0"
"6","2006","14","Chhattisgarh","Surguja","145.0","-1.0"
"6","2007","14","Chhattisgarh","Surguja","147.0","-1.0"
"6","2008","14","Chhattisgarh","Surguja","150.0","-1.0"
"6","2009","14","Chhattisgarh","Surguja","153.0","-1.0"
"6","2010","14","Chhattisgarh","Surguja","157.0","-1.0"
"7","2000","6","Madhya Pradesh","Jabalpur","213.0","401.0"
"7","2001","6","Madhya Pradesh","Jabalpur","214.0","401.0"
"7","2002","6","Madhya Pradesh","Jabalpur","213.0","409.0"
