Dist Code,Year,State Code,State,District,DISTRICT MALE FIELD LABOUR (Rs per Day),DISTRICT FEMALE FIELD LABOUR (Rs per Day),STATE MALE AVERAGE FIELD LABOUR (Rs per Day),STATE FEMALE AVERAGE FIELD LABOUR (Rs per Day)
1,2000,14,Chhattisgarh,Durg,-1,-1,-1,-1
1,2001,14,Chhattisgarh,Durg,-1,-1,-1,-1
1,2002,14,Chhattisgarh,Durg,-1,-1,-1,-1
1,2003,14,Chhattisgarh,Durg,-1,-1,-1,-1
1,2004,14,Chhattisgarh,Durg,-1,-1,-1,-1
1,2005,14,Chhattisgarh,Durg,33.19,24.67,47,24.67
1,2006,14,Chhattisgarh,Durg,37.35,25,48.07,25
1,2007,14,Chhattisgarh,Durg,43.54,38.61,53.85,38.61
1,2008,14,Chhattisgarh,Durg,45,40,63.82,40
1,2009,14,Chhattisgarh,Durg,67.92,51.67,71.45,51.67
1,2012,14,Chhattisgarh,Durg,262.5,-1,125.02,-1
1,2014,14,Chhattisgarh,Durg,195.45,-1,176,-1
1,2015,14,Chhattisgarh,Durg,242.86,-1,180.8,-1
1,2016,14,Chhattisgarh,Durg,260,-1,201,-1
1,2017,14,Chhattisgarh,Durg,246,-1,200,-1
2,2000,14,Chhattisgarh,Bastar,-1,-1,-1,-1
2,2001,14,Chhattisgarh,Bastar,-1,-1,-1,-1
2,2002,14,Chhattisgarh,Bastar,-1,-1,-1,-1
2,2003,14,Chhattisgarh,Bastar,-1,-1,-1,-1
2,2004,14,Chhattisgarh,Bastar,-1,-1,-1,-1
2,2005,14,Chhattisgarh,Bastar,44.17,32.22,47,32.22
2,2006,14,Chhattisgarh,Bastar,60,38.33,48.07,38.33
2,2007,14,Chhattisgarh,Bastar,54.17,39.17,53.85,39.17
2,2008,14,Chhattisgarh,Bastar,79.2,50.83,63.82,50.83
2,2009,14,Chhattisgarh,Bastar,82,50,71.45,50
2,2012,14,Chhattisgarh,Bastar,200,-1,125.02,-1
2,2015,14,Chhattisgarh,Bastar,150,-1,180.8,-1
2,2016,14,Chhattisgarh,Bastar,150,-1,201,-1
2,2017,14,Chhattisgarh,Bastar,262.5,-1,200,-1
3,2000,14,Chhattisgarh,Raipur,-1,-1,-1,-1
3,2001,14,Chhattisgarh,Raipur,-1,-1,-1,-1
3,2002,14,Chhattisgarh,Raipur,-1,-1,-1,-1
3,2003,14,Chhattisgarh,Raipur,-1,-1,-1,-1
3,2004,14,Chhattisgarh,Raipur,-1,-1,-1,-1
3,2005,14,Chhattisgarh,Raipur,46.25,30,47,30
3,2006,14,Chhattisgarh,Raipur,47.65,33.1,48.07,33.1
3,2007,14,Chhattisgarh,Raipur,59.64,44.85,53.85,44.85
3,2008,14,Chhattisgarh,Raipur,56.25,47.78,63.82,47.78
3,2009,14,Chhattisgarh,Raipur,46.67,36.67,71.45,36.67
3,2013,14,Chhattisgarh,Raipur,150,-1,149.64,-1
3,2015,14,Chhattisgarh,Raipur,300,-1,180.8,-1
3,2016,14,Chhattisgarh,Raipur,300,-1,201,-1
3,2017,14,Chhattisgarh,Raipur,300,-1,200,-1
4,2000,14,Chhattisgarh,Bilaspur,-1,-1,-1,-1
4,2001,14,Chhattisgarh,Bilaspur,-1,-1,-1,-1
4,2002,14,Chhattisgarh,Bilaspur,-1,-1,-1,-1
4,2003,14,Chhattisgarh,Bilaspur,-1,-1,-1,-1
4,2004,14,Chhattisgarh,Bilaspur,-1,-1,-1,-1
4,2005,14,Chhattisgarh,Bilaspur,45,30,47,30
4,2006,14,Chhattisgarh,Bilaspur,45,30,48.07,30
4,2007,14,Chhattisgarh,Bilaspur,51.67,42.78,53.85,42.78
4,2008,14,Chhattisgarh,Bilaspur,65.63,60.83,63.82,60.83
4,2009,14,Chhattisgarh,Bilaspur,65,53.33,71.45,53.33
4,2012,14,Chhattisgarh,Bilaspur,135,-1,125.02,-1
4,2013,14,Chhattisgarh,Bilaspur,176,-1,149.64,-1
4,2014,14,Chhattisgarh,Bilaspur,280,-1,176,-1
4,2015,14,Chhattisgarh,Bilaspur,282.5,-1,180.8,-1
4,2016,14,Chhattisgarh,Bilaspur,300,-1,201,-1
4,2017,14,Chhattisgarh,Bilaspur,300,-1,200,-1
5,2000,14,Chhattisgarh,Raigarh,-1,-1,-1,-1
5,2001,14,Chhattisgarh,Raigarh,-1,-1,-1,-1
5,2002,14,Chhattisgarh,Raigarh,-1,-1,-1,-1
5,2003,14,Chhattisgarh,Raigarh,-1,-1,-1,-1
5,2004,14,Chhattisgarh,Raigarh,-1,-1,-1,-1
5,2005,14,Chhattisgarh,Raigarh,42.71,33.33,47,33.33
5,2006,14,Chhattisgarh,Raigarh,49.5,42.05,48.07,42.05
5,2007,14,Chhattisgarh,Raigarh,51.13,42.5,53.85,42.5
5,2008,14,Chhattisgarh,Raigarh,60,43.33,63.82,43.33
5,2009,14,Chhattisgarh,Raigarh,74.17,60.56,71.45,60.56
5,2012,14,Chhattisgarh,Raigarh,166.67,-1,125.02,-1
5,2013,14,Chhattisgarh,Raigarh,150,-1,149.64,-1
5,2014,14,Chhattisgarh,Raigarh,150,-1,176,-1
5,2015,14,Chhattisgarh,Raigarh,170,-1,180.8,-1
5,2016,14,Chhattisgarh,Raigarh,189.17,-1,201,-1
5,2017,14,Chhattisgarh,Raigarh,253.64,-1,200,-1
6,2000,14,Chhattisgarh,Surguja,-1,-1,-1,-1
6,2001,14,Chhattisgarh,Surguja,-1,-1,-1,-1
6,2002,14,Chhattisgarh,Surguja,-1,-1,-1,-1
6,2003,14,Chhattisgarh,Surguja,-1,-1,-1,-1
6,2004,14,Chhattisgarh,Surguja,-1,-1,-1,-1
6,2005,14,Chhattisgarh,Surguja,40.94,30.83,47,30.83
6,2006,14,Chhattisgarh,Surguja,51.48,40.64,48.07,40.64
6,2007,14,Chhattisgarh,Surguja,51.67,42.5,53.85,42.5
6,2008,14,Chhattisgarh,Surguja,59.58,52.92,63.82,52.92
6,2009,14,Chhattisgarh,Surguja,90,50,71.45,50
6,2012,14,Chhattisgarh,Surguja,193.33,-1,125.02,-1
6,2013,14,Chhattisgarh,Surguja,222,-1,149.64,-1
6,2014,14,Chhattisgarh,Surguja,200,-1,176,-1
6,2015,14,Chhattisgarh,Surguja,200,-1,180.8,-1
6,2016,14,Chhattisgarh,Surguja,235,-1,201,-1
7,2000,6,Madhya Pradesh,Jabalpur,-1,-1,-1,-1
7,2001,6,Madhya Pradesh,Jabalpur,37.14,31,47.82,31
7,2002,6,Madhya Pradesh,Jabalpur,-1,-1,-1,-1
7,2003,6,Madhya Pradesh,Jabalpur,37.86,35,49.99,35
7,2004,6,Madhya Pradesh,Jabalpur,40,40,53.2,40
7,2005,6,Madhya Pradesh,Jabalpur,37.29,36.39,52.55,36.39
7,2006,6,Madhya Pradesh,Jabalpur,42.65,38.92,56.45,38.92
7,2007,6,Madhya Pradesh,Jabalpur,-1,-1,-1,-1
7,2008,6,Madhya Pradesh,Jabalpur,-1,-1,-1,-1
7,2009,6,Madhya Pradesh,Jabalpur,82.92,68.89,87.8,68.89
