country,state,district,yearcode,dyid,road_sum,districtcode
India,West Bengal,24 Paraganas North,2011,24 Paraganas North2011,30.113,1
India,West Bengal,24 Paraganas North,2012,24 Paraganas North2012,239.487,1
India,West Bengal,24 Paraganas North,2013,24 Paraganas North2013,427.56,1
India,West Bengal,24 Paraganas North,2016,24 Paraganas North2016,27.695,1
India,West Bengal,24 Paraganas North,2017,24 Paraganas North2017,645.469,1
India,West Bengal,24 Paraganas North,2018,24 Paraganas North2018,.,1
India,West Bengal,24 Paraganas South,2011,24 Paraganas South2011,88.035,2
India,West Bengal,24 Paraganas South,2012,24 Paraganas South2012,171.847,2
India,West Bengal,24 Paraganas South,2016,24 Paraganas South2016,575.578,2
India,West Bengal,24 Paraganas South,2017,24 Paraganas South2017,151.251,2
India,Telangana,Adilabad,2012,Adilabad2012,9.575,3
India,Telangana,Adilabad,2016,Adilabad2016,.,3
India,Telangana,Adilabad,2017,Adilabad2017,130.517,3
India,Madhya Pradesh,Agar Malwa,2011,Agar Malwa2011,33,4
India,Madhya Pradesh,Agar Malwa,2012,Agar Malwa2012,183.74,4
India,Madhya Pradesh,Agar Malwa,2013,Agar Malwa2013,35.12,4
India,Madhya Pradesh,Agar Malwa,2015,Agar Malwa2015,116.1,4
India,Madhya Pradesh,Agar Malwa,2016,Agar Malwa2016,8.9,4
India,Madhya Pradesh,Agar Malwa,2017,Agar Malwa2017,7.05,4
India,Madhya Pradesh,Agar Malwa,2018,Agar Malwa2018,.,4
India,Uttar Pradesh,Agra,2011,Agra2011,18.06,5
India,Uttar Pradesh,Agra,2012,Agra2012,123.3,5
India,Gujarat,Ahmadabad,2013,Ahmadabad2013,129.804,6
India,Gujarat,Ahmadabad,2016,Ahmadabad2016,.,6
India,Maharashtra,Ahmednagar,2012,Ahmednagar2012,76.395,7
India,Maharashtra,Ahmednagar,2013,Ahmednagar2013,47.82,7
India,Maharashtra,Ahmednagar,2017,Ahmednagar2017,49.495,7
India,Mizoram,Aizawl,2013,Aizawl2013,28.75,8
India,Mizoram,Aizawl,2016,Aizawl2016,100.08,8
India,Mizoram,Aizawl,2017,Aizawl2017,39.54,8
India,Rajasthan,Ajmer,2011,Ajmer2011,32.3,9
India,Rajasthan,Ajmer,2012,Ajmer2012,57.97,9
India,Rajasthan,Ajmer,2013,Ajmer2013,30.145,9
India,Rajasthan,Ajmer,2016,Ajmer2016,39.35,9
India,Maharashtra,Akola,2012,Akola2012,13.2,10
India,Kerala,Alappuzha,2013,Alappuzha2013,24.7,11
India,Uttar Pradesh,Aligarh,2012,Aligarh2012,107.05,12
India,Uttar Pradesh,Aligarh,2018,Aligarh2018,15.85,12
India,West Bengal,Alipurduar,2011,Alipurduar2011,15.21,13
India,West Bengal,Alipurduar,2012,Alipurduar2012,38.333,13
India,West Bengal,Alipurduar,2013,Alipurduar2013,35.697,13
India,West Bengal,Alipurduar,2017,Alipurduar2017,276.457,13
India,West Bengal,Alipurduar,2018,Alipurduar2018,.,13
India,Madhya Pradesh,Alirajpur,2012,Alirajpur2012,145.33,14
India,Madhya Pradesh,Alirajpur,2013,Alirajpur2013,4.75,14
India,Madhya Pradesh,Alirajpur,2015,Alirajpur2015,.,14
India,Madhya Pradesh,Alirajpur,2016,Alirajpur2016,44.67,14
India,Madhya Pradesh,Alirajpur,2017,Alirajpur2017,50.53,14
India,Madhya Pradesh,Alirajpur,2018,Alirajpur2018,.,14
India,Uttarakhand,Almora,2011,Almora2011,2.25,15
India,Uttarakhand,Almora,2012,Almora2012,59.26,15
India,Uttarakhand,Almora,2013,Almora2013,170.35,15
